stop_id,stop_name,capacity,latitude,longitude,category
U103039,聯合醫院中興院區,27,25.05205,121.50818,高
U103040,蔣渭水紀念公園,24,25.06011,121.51729,高
U103041,迪化休閒運動公園,15,25.07491,121.5115,高
U103042,大同運動中心,16,25.06496,121.51608,高
U103043,重慶保安街口(家樂福重慶店),20,25.05918,121.51373,高
U103044,大稻埕碼頭,35,25.05662,121.50783,高
U103045,歸綏戲曲公園,20,25.05805,121.51353,高
U103046,民權國中(民權西路),17,25.06322,121.5144,中
U103047,承德民權路口,17,25.06247,121.51839,中
U103048,南京太原路口,18,25.05366,121.51638,中
U103049,承德民生西路口,11,25.05756,121.51828,中
U103050,太原五原路口,24,25.05646,121.51698,高
U103051,臺北轉運站(華陰街),20,25.04937,121.51914,高
U103052,捷運民權西路站(3號出口),50,25.06129,121.52021,高
U103053,捷運中山站(5號出口),11,25.05296,121.51938,中
U103054,重慶長安路口,15,25.0515,121.51398,高
U103055,承德昌吉街口,18,25.06587,121.51847,中
U103056,大同16號廣場,14,25.05658,121.50826,中
U103057,捷運圓山站(2號出口),37,25.07182,121.51929,高
U103058,樹德公園,21,25.06669,121.51615,高
U103059,承德鄭州路口(市民高架下),38,25.04879,121.51626,高
U103060,成淵高中,14,25.06036,121.51996,高
U103061,雙蓮國小,20,25.06157,121.51683,高
U103062,寧夏涼州街口,15,25.06095,121.51428,高
U103063,延平涼州街口,14,25.06092,121.51126,高
U104001,劍潭抽水站,17,25.08128,121.51784,中
U104002,通河東街大南路口,15,25.08914,121.51542,高
U104003,福港街停車場,22,25.08695,121.51901,高
U104004,百齡國小,50,25.08521,121.51918,高
U104005,雨聲街165巷口,15,25.10277,121.53357,高
U104006,天和公園,13,25.12001,121.53342,高
U104007,中山天母路口,29,25.11856,121.52964,高
U104008,天母運動公園,27,25.11633,121.53414,高
U104009,臺北市立大學(天母校區),23,25.11356,121.53718,高
U104010,忠誠路二段53巷,18,25.11127,121.53244,高
U104012,天母棒球場,26,25.11341,121.53195,高
U104013,天母北天玉街口,15,25.12011,121.52652,中
U104014,蘭興公園,48,25.11184,121.52589,高
U104015,明勝公園,14,25.08009,121.51895,中
U104016,劍潭海外青年活動中心,23,25.07994,121.52426,中
U104018,忠誠路一段173巷口,11,25.10813,121.5304,中
U104019,雨農國小,35,25.10543,121.529309,高
U104020,忠誠公園,14,25.10399,121.52593,中
U104021,芝山抽水站,21,25.10155,121.52832,高
U104022,至誠路一段305巷口,21,25.10186,121.53083,高
U104023,華齡公園,25,25.08302,121.52069,高
U104024,前港公園(福德宮),18,25.08671,121.52096,高
